product_name,price,images
"Suryaviva Nano Plus 3B Ms Bk Toughened Glass 3 Cast Iron Burner Gas Stove(Manual Ignition,Black)",8990,"['https://n2.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL093034113-1-f0cbe.jpg', 'https://n2.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL093034113-2-2c970.jpg', 'https://n2.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL093034113-3-5e7a2.jpg', 'https://n1.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL093034113-4-f0d9c.jpg']"
bharatgas Steel Reinforced LPG Hose Pipe 1_5 MT - Others Cylinder Pipe,799,"['https://n1.sdlcdn.com/imgs/k/j/t/130x152/bharatgas-Steel-Reinforced-LPG-Hose-SDL108156180-1-426eb.jpg', 'https://n4.sdlcdn.com/imgs/k/j/t/130x152/bharatgas-Steel-Reinforced-LPG-Hose-SDL108156180-2-247ca.jpg', 'https://n4.sdlcdn.com/imgs/k/j/t/130x152/bharatgas-Steel-Reinforced-LPG-Hose-SDL108156180-3-0c03d.jpg', 'https://n4.sdlcdn.com/imgs/k/j/t/130x152/bharatgas-Steel-Reinforced-LPG-Hose-SDL108156180-4-5b0ec.jpg', 'https://n2.sdlcdn.com/imgs/k/j/t/130x152/bharatgas-Steel-Reinforced-LPG-Hose-SDL108156180-5-babdc.jpg']"
FSN Gas Saver Burner Stand,699,"['https://n3.sdlcdn.com/imgs/k/n/e/130x152/FSN-Stainless-Steel-Pan-Support-SDL183897269-1-1f88a.jpg', 'https://n3.sdlcdn.com/imgs/k/v/4/130x152/GasSaverimage-92ec2.jpg', 'https://n3.sdlcdn.com/imgs/k/n/e/130x152/FSN-Stainless-Steel-Pan-Support-SDL183897269-2-c9144.jpg']"
FSN Gas Saver Burner Stand,799,"['https://n1.sdlcdn.com/imgs/k/n/e/130x152/FSN-Stainless-Steel-Hobtop-SDL135703185-1-fa95d.jpg', 'https://n3.sdlcdn.com/imgs/k/n/e/130x152/FSN-Stainless-Steel-Hobtop-SDL135703185-2-5af1e.jpg', 'https://n3.sdlcdn.com/imgs/k/n/e/130x152/FSN-Stainless-Steel-Hobtop-SDL135703185-3-9de25.jpg', 'https://n3.sdlcdn.com/imgs/k/n/e/130x152/FSN-Stainless-Steel-Hobtop-SDL135703185-4-47256.jpg']"
Vardaan Gas Saver Burner Stand,999,"['https://n2.sdlcdn.com/imgs/k/n/1/130x152/Vardaan-Mild-Steel-Gas-Stove-SDL801593383-1-54920.png', 'https://n1.sdlcdn.com/imgs/k/n/1/130x152/Vardaan-Mild-Steel-Gas-Stove-SDL801593383-2-00b80.png', 'https://n3.sdlcdn.com/imgs/k/n/1/130x152/Vardaan-Mild-Steel-Gas-Stove-SDL801593383-3-e0e49.png', 'https://n4.sdlcdn.com/imgs/k/n/1/130x152/Vardaan-Mild-Steel-Gas-Stove-SDL801593383-4-d779f.png', 'https://n2.sdlcdn.com/imgs/k/n/1/130x152/Vardaan-Mild-Steel-Gas-Stove-SDL801593383-5-a278d.png']"
Green Tales - Mild Steel Lighter,699,"['https://n4.sdlcdn.com/imgs/k/o/u/130x152/Green-Tales-Mild-Steel-Lighter-SDL487902115-1-0ed03.png', 'https://n2.sdlcdn.com/imgs/k/o/u/130x152/Green-Tales-Mild-Steel-Lighter-SDL487902115-2-57f03.png', 'https://n1.sdlcdn.com/imgs/k/o/u/130x152/Green-Tales-Mild-Steel-Lighter-SDL487902115-3-078b4.png', 'https://n3.sdlcdn.com/imgs/k/o/u/130x152/Green-Tales-Mild-Steel-Lighter-SDL487902115-4-3b6ef.png']"
Gas Saver Burner Stand,999,"['https://n3.sdlcdn.com/imgs/k/g/5/130x152/Gas-Stove-Burner-Stand-Mild-SDL540680956-1-44f29.jpg', 'https://n1.sdlcdn.com/imgs/k/g/5/130x152/Gas-Stove-Burner-Stand-Mild-SDL540680956-2-9866a.jpg', 'https://n4.sdlcdn.com/imgs/k/g/5/130x152/Gas-Stove-Burner-Stand-Mild-SDL540680956-4-63df0.jpg', 'https://n2.sdlcdn.com/imgs/k/g/5/130x152/Gas-Stove-Burner-Stand-Mild-SDL540680956-5-6ae06.jpg', 'https://n4.sdlcdn.com/imgs/k/g/5/130x152/Gas-Stove-Burner-Stand-Mild-SDL540680956-6-1543f.jpg', 'https://n3.sdlcdn.com/imgs/k/g/5/130x152/Gas-Stove-Burner-Stand-Mild-SDL540680956-7-df063.jpg']"
Varkaus Gas Saver Burner Stand,999,"['https://n1.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-1-2dff7.jpg', 'https://n2.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-2-7341b.jpg', 'https://n1.sdlcdn.com/imgs/k/t/4/130x152/Gasstove_3-39edc.jpg', 'https://n1.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-3-4d09d.jpg', 'https://n3.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-4-86710.jpg', 'https://n4.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-5-48b6b.jpg', 'https://n4.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-6-78185.jpg', 'https://n2.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-7-6770d.jpg', 'https://n3.sdlcdn.com/imgs/k/f/3/130x152/VARKAUS-Stainless-Steel-Pan-Support-SDL407762114-8-d0349.jpg']"
GKBOSS Gas Saver Burner Stand,899,"['https://n4.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-2-e62a8.jpg', 'https://n1.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-8-44cb4.jpg', 'https://n4.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-3-886c6.jpg', 'https://n2.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-4-29db3.jpg', 'https://n1.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-5-19943.jpg', 'https://n2.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-7-66cec.jpg', 'https://n1.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-1-a236d.jpg', 'https://n1.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL238308769-9-13dac.jpg']"
FSN Gas Saver Burner Stand,999,"['https://n1.sdlcdn.com/imgs/k/t/u/130x152/SDL700949631_1-9ee0b.jpg', 'https://n3.sdlcdn.com/imgs/k/t/u/130x152/SDL700949631_2-8843d.jpeg', 'https://n1.sdlcdn.com/imgs/k/t/u/130x152/SDL700949631_3-46388.jpg']"
Inshop Gas Saver Burner Stand,999,"['https://n4.sdlcdn.com/imgs/k/h/0/130x152/INSHOP-Others-Gas-Stove-SDL941438001-1-deba6.jpg', 'https://n2.sdlcdn.com/imgs/k/f/p/130x152/INSHOP-Others-Gas-Stove-SDL941438001-3-67dc6.jpg', 'https://n3.sdlcdn.com/imgs/k/h/0/130x152/INSHOP-Others-Gas-Stove-SDL941438001-3-e2323.jpg', 'https://n3.sdlcdn.com/imgs/k/f/p/130x152/INSHOP-Others-Gas-Stove-SDL941438001-5-7559e.jpg', 'https://n2.sdlcdn.com/imgs/k/f/p/130x152/INSHOP-Others-Gas-Stove-SDL941438001-6-f5637.jpg', 'https://n3.sdlcdn.com/imgs/k/f/p/130x152/INSHOP-Others-Gas-Stove-SDL941438001-7-08548.jpg', 'https://n4.sdlcdn.com/imgs/k/f/p/130x152/INSHOP-Others-Gas-Stove-SDL941438001-4-c2e76.jpg']"
"Goodflame Hose Pipe 1.5 Mtr. With Reinforced Rubber Hose Pipe(Rubber Hose Pipe,Orange)",299,"['https://n1.sdlcdn.com/imgs/k/g/j/130x152/GOODFLAME-Others-Cylinder-Pipe-SDL214106014-1-60f51.jpg', 'https://n4.sdlcdn.com/imgs/k/g/j/130x152/GOODFLAME-Others-Cylinder-Pipe-SDL214106014-2-fec19.jpg']"
"Goodflame Nano 2B Ms Bk Toughened Glass 2 Brass Burner Gas Stove(Manual Ignition,Black)",5890,"['https://n1.sdlcdn.com/imgs/j/x/u/130x152/GOODFLAME-2-Burner-MS-Nano-SDL010185222-1-0e130.jpg', 'https://n2.sdlcdn.com/imgs/j/x/u/130x152/GOODFLAME-2-Burner-MS-Nano-SDL010185222-2-56bd0.jpg', 'https://n2.sdlcdn.com/imgs/j/x/u/130x152/GOODFLAME-2-Burner-MS-Nano-SDL010185222-3-e94a1.jpg', 'https://n1.sdlcdn.com/imgs/j/x/u/130x152/GOODFLAME-2-Burner-MS-Nano-SDL010185222-4-8640d.jpg', 'https://n3.sdlcdn.com/imgs/j/x/u/130x152/GOODFLAME-2-Burner-MS-Nano-SDL010185222-5-bd0ef.jpg', 'https://n2.sdlcdn.com/imgs/j/x/u/130x152/GOODFLAME-2-Burner-MS-Nano-SDL010185222-6-f8f70.jpg']"
"Goodflame Nano 2B Ms Bk Toughened Glass 2 Brass Burner Gas Stove(Manual Ignition,Black)",5890,"['https://n4.sdlcdn.com/imgs/j/v/x/130x152/SDL167127229-a24d5.jpg', 'https://n4.sdlcdn.com/imgs/j/r/7/130x152/goodflame-2-burner-ms-nano-SDL167127229-1-76ae5.jpg', 'https://n2.sdlcdn.com/imgs/j/r/7/130x152/goodflame-2-burner-ms-nano-SDL167127229-2-508f2.jpg', 'https://n4.sdlcdn.com/imgs/j/r/7/130x152/goodflame-2-burner-ms-nano-SDL167127229-3-44d62.jpg', 'https://n1.sdlcdn.com/imgs/j/r/7/130x152/goodflame-2-burner-ms-nano-SDL167127229-4-4f7dc.jpg', 'https://n3.sdlcdn.com/imgs/j/r/7/130x152/goodflame-2-burner-ms-nano-SDL167127229-5-60fd9.jpg', 'https://n2.sdlcdn.com/imgs/j/r/7/130x152/goodflame-2-burner-ms-nano-SDL167127229-6-ddc35.jpg', 'https://n1.sdlcdn.com/imgs/j/r/7/130x152/goodflame-2-burner-ms-nano-SDL167127229-7-2064e.jpg', 'https://n2.sdlcdn.com/imgs/a/b/c/130x152/sdtv/645930090741_sdl167127229_aggr_1.jpg', 'https://n1.sdlcdn.com/imgs/a/b/c/130x152/sdtv/645930090741_sdl167127229_aggr_2.jpg', 'https://n2.sdlcdn.com/imgs/a/b/c/130x152/sdtv/645930090741_sdl167127229_uncut_1.jpg', 'https://n3.sdlcdn.com/imgs/a/b/c/130x152/sdtv/645930090741_sdl167127229_uncut_2.jpg']"
suraksha gas pipes LPG Kitchen Pipe Cylinder Pipe,499,"['https://n2.sdlcdn.com/imgs/h/x/l/130x152/suraksha-gas-pipes-LPG-Kitchen-SDL751945032-1-45ec3.jpeg', 'https://n3.sdlcdn.com/imgs/h/x/l/130x152/suraksha-gas-pipes-LPG-Kitchen-SDL751945032-2-83ced.jpg']"
OFFYX - Stainless Steel Lighter,599,"['https://n1.sdlcdn.com/imgs/k/k/1/130x152/OFFYX-Stainless-Steel-Lighter-SDL041799976-1-848fc.jpg', 'https://n4.sdlcdn.com/imgs/k/k/1/130x152/OFFYX-Stainless-Steel-Lighter-SDL041799976-2-5a76f.jpg']"
GKBOSS Gas Saver Burner Stand,999,"['https://n2.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL868201484-2-1a2f7.jpg', 'https://n3.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL868201484-1-21cbc.png', 'https://n4.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL868201484-3-fe5cc.jpg', 'https://n2.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL868201484-4-e4bca.jpg', 'https://n2.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL868201484-6-7005c.jpg', 'https://n3.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Stainless-Steel-Pan-Support-SDL868201484-7-d7534.jpg']"
FSN Gas Saver Burner Stand,999,"['https://n3.sdlcdn.com/imgs/k/m/s/130x152/FSN-Stainless-Steel-Pan-Support-SDL559822656-1-b1175.jpg', 'https://n2.sdlcdn.com/imgs/k/m/s/130x152/FSN-Stainless-Steel-Pan-Support-SDL559822656-2-24369.jpg', 'https://n1.sdlcdn.com/imgs/k/m/s/130x152/FSN-Stainless-Steel-Pan-Support-SDL559822656-3-f25e4.jpg', 'https://n1.sdlcdn.com/imgs/k/l/y/130x152/FSN-Stainless-Steel-Pan-Support-SDL559822656-4-0223c.jpg', 'https://n1.sdlcdn.com/imgs/k/l/y/130x152/FSN-Stainless-Steel-Pan-Support-SDL559822656-5-aa9f0.jpg', 'https://n4.sdlcdn.com/imgs/k/l/y/130x152/FSN-Stainless-Steel-Pan-Support-SDL559822656-6-ebc2e.jpg']"
Inshop Gas Saver Burner Stand,999,"['https://n1.sdlcdn.com/imgs/k/f/z/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL102296235-3-d17b4.jpg', 'https://n1.sdlcdn.com/imgs/k/f/z/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL102296235-1-102cb.jpg', 'https://n4.sdlcdn.com/imgs/k/f/z/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL102296235-2-02534.jpg', 'https://n2.sdlcdn.com/imgs/k/f/z/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL102296235-4-d9db5.jpg']"
GKBOSS Gas Saver Burner Stand,799,"['https://n3.sdlcdn.com/imgs/k/n/1/130x152/GKBOSS-Stainless-Steel-Burners-SDL018736371-2-6f82d.jpg', 'https://n3.sdlcdn.com/imgs/k/n/1/130x152/GKBOSS-Stainless-Steel-Burners-SDL018736371-1-fd9fb.png', 'https://n1.sdlcdn.com/imgs/k/n/1/130x152/GKBOSS-Stainless-Steel-Burners-SDL018736371-3-b83e7.jpg']"
